FICHA;0000500;CAMPOS DE INGRESO DML;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE INGRESO A  DML;TÉCNICO;ESTADO GENERAL;;OBSERVACIÓN;DIAGNÓSTICO DE REPARACIÓN;REPUESTOS COLOCADOS;;;;;MECANIZADO;HORAS ADICIONALES;HORAS ADICIONALES;ESTADO;N°  DE CICLOS;FECHA DE EGRESO;N° DE REMITO DML;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TÉCNICO RESPONSIBLE;LISTA DE ESTADO PREFIJADO;ELEGIR DEL DESPLEGABLE;INGRESO MANUAL DE TEXTO;INGRESO MANUAL DE TEXTO;CODIGO DE PRODUCTO hasta 15, en el ejemplo sólo hay 12;NOMBRTE DEL PRODUCTO LLAMADO SE DEBE TRAER EL NOMBRE DE LA MATRIZ;ingreso manual de cantidad de cada repuesto;Si esta en stock aparece el tilde verde;Si no esta en stock aparece la cruz roja y desaparece el verde;Acá se escribe tipo de mecanizado realizado y si tiene costo, caso contrario se debe poder seleccionar NO APLICA;Acá se escribe se ponen la cantidad de horas adicionales si las hubiese, caso contrario se debe poder seleccionar NO APLICA;Aca se debe poder poner las horas adicionales si las hay y si no la opcíon NO APLICA;Seleccionar del desplegable el estado actual de la máquina;;Fecha de salida de DML;N° REMITO CARGA MANUAL;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;CUANDO SE ELIJA LA OPCIÓN DE MÁQUINA LISTA PARA ENTREGAR SE HABILITA EL BOTÓN DE FINALIZAR REPARACIÓN Y LA INFO QUEDARÁ FREEZADA, SOLO SE PODRA RE-EDITAR INGRESANDO ALGUN CODIGO O CONTRASEÑA DE DESBLOQUEO. AL FINALIZAR LA REPARACIÓN Y UNA VEZ QUE YA NO HAYA QUE EDITAR NADA MÁS, SE PODRÁ OPRIMIR EL BOTÓN DE GENERACIÓN DE FICHA, LA CUAL SE PODRA IMPRIMIR Y A LA VEZ DISPARARÁ EL CORREO AVISANDO QUE LA MÁQUINA SE ENCUENTRA LISTA JUNTO AL ENVÍO DE FICHA AL CORREO AL COMERCIAL CARGADO POR RAYPAC;;;;;;;;;;;;;;;;;;;;;;
;;;;LA INFORMACIÓN SE PUEDE EDITAR LAS VECES QUE FUERA NECESARIO, UNA VEZ GENERADO EL TICKET SE HABILITAN LAS CASILLAS RESTANTES Y SE PUEDE DAR COMIENZO A LA REPARACIÓN.  LA GENERACIÓN DE TICKET DISPARA LA POSIBILIDAD DE IMPRESIÓN DE TICKET Y EL ENVÍO POR CORREO AL COMERCIAL DE RAYPAC CARGADO POR ELLOS.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
